Instance, X-n120-k6
capacity, 21
min_trucks, 6
output_file, output/X-n120-k6.log
Start date, 2022-06-15
Start time, 10-21-50
capacity, 21
num_vehicles, 6
methods, ['ng8', 'cyc2', 'SPPRC']
max_vars, 10000
time_limit, 120
farley, False
Number of routes, number of iterations, time, max_it, max_stale_it
52823, 20000, 0.01, 20000.0, 20
method, duration, pricing_success, upper_bound, lower_bound, abort_early, num_paths
ng8, 3.56, 1, 13015.296792200761, 10585.790749290834, False, 1385
cyc2, 2.68, 1, 13015.296792200761, 4166.976982598233, False, 8353
SPPRC, 0.35, 1, 13015.296792200761, -2194.04055128686, False, 1289
ng8, 4.94, 1, 13015.296792200763, 10915.646977664483, False, 1269
cyc2, 2.59, 1, 13015.296792200763, 4833.006983737427, False, 7860
SPPRC, 0.36, 1, 13015.296792200763, -3592.477713824457, False, 1328
ng8, 4.3, 1, 13015.295457305354, 10861.581475052466, False, 1014
cyc2, 2.81, 1, 13015.295457305354, 2361.5880017395393, False, 9077
SPPRC, 0.36, 1, 13015.295457305354, -4261.455934207705, False, 1321
ng8, 6.07, 1, 13015.295457305354, 11294.505112716415, False, 844
cyc2, 2.2, 1, 13015.295457305354, 5740.709288079779, False, 6539
SPPRC, 0.32, 1, 13015.295457305354, 1485.7453397798872, False, 1129
ng8, 4.96, 1, 13013.38500847799, 10978.029410193918, False, 1036
cyc2, 2.21, 1, 13013.38500847799, 5640.344071160687, False, 6553
SPPRC, 0.33, 1, 13013.38500847799, 735.3426079107649, False, 1160
ng8, 7.2, 1, 13013.385008477988, 11840.215407463224, False, 644
cyc2, 2.61, 1, 13013.385008477988, 4782.667703413579, False, 7898
SPPRC, 0.36, 1, 13013.385008477988, -286.2529897747172, False, 1227
ng8, 7.01, 1, 13011.006461455858, 11779.90950446613, False, 602
cyc2, 2.06, 1, 13011.006461455858, 5669.546954180392, False, 5978
SPPRC, 0.33, 1, 13011.006461455858, 221.1241150588503, False, 1162
ng8, 5.98, 1, 13011.006461455856, 11989.738105216773, False, 546
cyc2, 2.11, 1, 13011.006461455856, 5730.144162776713, False, 6232
SPPRC, 0.34, 1, 13011.006461455856, -1569.7654257458544, False, 1216
ng8, 6.05, 1, 13006.028866350334, 11919.725681911284, False, 484
cyc2, 2.35, 1, 13006.028866350334, 3341.9038809260164, False, 7178
SPPRC, 0.38, 1, 13006.028866350334, -3732.7487826694523, False, 1305
ng8, 6.21, 1, 13004.420013310746, 11366.63223108609, False, 720
cyc2, 2.24, 1, 13004.420013310746, 3780.2571149177493, False, 6706
SPPRC, 0.35, 1, 13004.420013310746, -2567.128135628698, False, 1207
ng8, 6.5, 1, 13004.420013310744, 12162.303865686383, False, 423
cyc2, 2.34, 1, 13004.420013310744, 3444.8538686196716, False, 7316
SPPRC, 0.35, 1, 13004.420013310744, -3465.1343534089683, False, 1313
ng8, 6.5, 1, 13002.207366183378, 12093.374535230403, False, 385
cyc2, 2.38, 1, 13002.207366183378, 3426.8193933147577, False, 7332
SPPRC, 0.36, 1, 13002.207366183378, -3649.659761007624, False, 1282
ng8, 6.24, 1, 13001.423525744662, 12112.918214157895, False, 425
cyc2, 2.26, 1, 13001.423525744662, 4823.86760475581, False, 6786
SPPRC, 0.34, 1, 13001.423525744662, -220.13450555421514, False, 1190
ng8, 7.74, 1, 13001.42348362448, 12210.24880428374, False, 406
cyc2, 2.6, 1, 13001.42348362448, 3847.0069212695, False, 8042
SPPRC, 0.36, 1, 13001.42348362448, -2211.4698560222478, False, 1304
ng8, 6.98, 1, 13001.314910164792, 12254.47574406015, False, 282
cyc2, 2.57, 1, 13001.314910164792, 2428.8891950163616, False, 8095
SPPRC, 0.37, 1, 13001.314910164792, -6032.270939334934, False, 1380
ng8, 5.64, 1, 12992.392900038009, 11480.669956908754, False, 678
cyc2, 1.95, 1, 12992.392900038009, 7445.07894188178, False, 5068
SPPRC, 0.33, 1, 12992.392900038009, 2825.379029978285, False, 1067
ng8, 6.91, 1, 12992.39290003801, 11732.206917687414, False, 658
cyc2, 2.09, 1, 12992.39290003801, 5856.6091270218, False, 6085
SPPRC, 0.33, 1, 12992.39290003801, 1094.6986942947042, False, 1181
ng8, 6.53, 1, 12992.392900038009, 12097.240050586694, False, 395
cyc2, 2.32, 1, 12992.392900038009, 5137.983041436285, False, 6780
SPPRC, 0.36, 1, 12992.392900038009, -1796.380156321833, False, 1246
ng8, 8.53, 1, 12992.392900038009, 12396.975624290071, False, 261
cyc2, 2.25, 1, 12992.392900038009, 4185.083612614799, False, 6465
SPPRC, 0.36, 1, 12992.392900038009, -2056.6685690471895, False, 1207
ng8, 7.99, 1, 12992.392900038009, 12240.919843462587, False, 379
cyc2, 3.01, 1, 12992.392900038009, 4459.468083452792, False, 7157
SPPRC, 0.43, 1, 12992.392900038009, -26.464403827134447, False, 1227
ng8, 8.21, 1, 12992.392900038009, 12245.464953512768, False, 274
cyc2, 2.5, 1, 12992.392900038009, 5241.673024701693, False, 6692
SPPRC, 0.37, 1, 12992.392900038009, 364.67383636585873, False, 1180
ng8, 11.32, 1, 12992.392900038007, 12547.382000559035, False, 251
cyc2, 3.32, 1, 12992.392900038007, 5956.820631611905, False, 6617
SPPRC, 0.43, 1, 12992.392900038007, 824.9834230162796, False, 1164
ng8, 6.22, 1, 12985.268940826043, 11164.777824175266, False, 1106
cyc2, 2.49, 1, 12985.268940826043, 4635.9358566883275, False, 6733
SPPRC, 0.32, 1, 12985.268940826043, 2257.02889956075, False, 987
ng8, 5.13, 1, 12985.268940826043, 11475.125909463457, False, 667
cyc2, 2.74, 1, 12985.268940826043, 3777.4090707038777, False, 7879
SPPRC, 0.37, 1, 12985.268940826043, -1673.6991995056578, False, 1225
ng8, 8.16, 1, 12985.268940826043, 11946.54398617052, False, 481
cyc2, 2.7, 1, 12985.268940826043, 4447.333399815843, False, 7357
SPPRC, 0.36, 1, 12985.268940826043, -548.0716249444522, False, 1152
ng8, 7.14, 1, 12985.268940826043, 12280.578811458505, False, 330
cyc2, 3.01, 1, 12985.268940826043, 2997.2533802977723, False, 8383
SPPRC, 0.39, 1, 12985.268940826043, -3129.917950546569, False, 1263
ng8, 8.59, 1, 12985.268940826043, 12465.964790899992, False, 234
cyc2, 2.6, 1, 12985.268940826043, 4900.319999225774, False, 7141
SPPRC, 0.36, 1, 12985.268940826043, -975.6273928329592, False, 1198
ng8, 7.63, 1, 12984.761393581906, 12230.63864383809, False, 312
cyc2, 2.71, 1, 12984.761393581906, 4655.334675091703, False, 7448
SPPRC, 0.37, 1, 12984.761393581906, -857.9449807803685, False, 1196
ng8, 8.5, 1, 12984.761393581904, 12402.351494579263, False, 253
cyc2, 3.13, 1, 12984.761393581904, 3959.285322167396, False, 7501
SPPRC, 0.43, 1, 12984.761393581904, -1988.457500854749, False, 1243
ng8, 9.47, 1, 12984.720486406712, 12355.06249260462, False, 277
cyc2, 2.59, 1, 12984.720486406712, 6040.23320318905, False, 6758
SPPRC, 0.34, 1, 12984.720486406712, 1348.3205415329794, False, 1103
ng8, 8.58, 1, 12984.720486406712, 12410.913027068254, False, 286
cyc2, 2.89, 1, 12984.720486406712, 6092.099033664858, False, 6914
SPPRC, 0.36, 1, 12984.720486406712, 1174.0182681421065, False, 1146
ng8, 10.39, 1, 12984.457442174167, 12513.007401236926, False, 213
cyc2, 2.34, 1, 12984.457442174167, 6489.391435121522, False, 5710
SPPRC, 0.34, 1, 12984.457442174167, 2008.8963466076293, False, 1043
ng8, 7.06, 1, 12968.96733422871, 12148.533276706652, False, 287
cyc2, 2.41, 1, 12968.96733422871, 5619.89587359541, False, 6578
SPPRC, 0.4, 1, 12968.96733422871, 396.92608361932616, False, 1155
ng8, 11.65, 1, 12968.967334228708, 12360.456800665132, False, 257
cyc2, 2.53, 1, 12968.967334228708, 6102.117771101933, False, 6287
SPPRC, 0.41, 1, 12968.967334228708, 1586.1039682844403, False, 1083
ng8, 8.13, 1, 12968.967334228708, 12263.637392806815, False, 256
cyc2, 2.49, 1, 12968.967334228708, 4937.463015538679, False, 6953
SPPRC, 0.34, 1, 12968.967334228708, -538.6696941677455, False, 1182
ng8, 7.66, 1, 12968.96733422871, 12361.861770697118, False, 265
cyc2, 2.04, 1, 12968.96733422871, 5900.073374065552, False, 6103
SPPRC, 0.31, 1, 12968.96733422871, 1004.3823342655669, False, 1110
ng8, 8.2, 1, 12968.967334228708, 12533.94305880952, False, 215
cyc2, 2.24, 1, 12968.967334228708, 5394.513604058686, False, 6795
SPPRC, 0.32, 1, 12968.967334228708, 825.4053116367086, False, 1121
ng8, 8.21, 1, 12968.379748581296, 12586.259352423396, False, 235
cyc2, 2.23, 1, 12968.379748581296, 5381.759681346461, False, 6660
SPPRC, 0.34, 1, 12968.379748581296, 141.50718454933485, False, 1166
ng8, 8.58, 1, 12965.090495123352, 12225.535422643767, False, 350
cyc2, 1.98, 1, 12965.090495123352, 5494.135458950028, False, 5850
SPPRC, 0.3, 1, 12965.090495123352, 672.2765336802058, False, 1072
ng8, 9.95, 1, 12965.090495123352, 12592.046673435809, False, 244
cyc2, 1.98, 1, 12965.090495123352, 6284.976263387232, False, 5856
SPPRC, 0.31, 1, 12965.090495123352, 1937.3686776273062, False, 1097
ng8, 8.83, 1, 12963.046614735204, 12046.940931056306, False, 340
cyc2, 1.6, 1, 12963.046614735204, 6890.02286182985, False, 4459
SPPRC, 0.31, 1, 12963.046614735204, -501.53762338924025, False, 1123
ng8, 7.89, 1, 12963.0466147352, 12312.07509050452, False, 242
cyc2, 1.82, 1, 12963.0466147352, 6376.866231462947, False, 5229
SPPRC, 0.31, 1, 12963.0466147352, 345.0341059509683, False, 1076
ng8, 7.25, 1, 12963.046614735204, 12128.506000308118, False, 313
cyc2, 1.69, 1, 12963.046614735204, 7329.734437937994, False, 4713
SPPRC, 0.28, 1, 12963.046614735204, 2904.709413410881, False, 959
ng8, 9.27, 1, 12963.046614735202, 12345.10086707625, False, 247
cyc2, 1.71, 1, 12963.046614735202, 6916.9417156127065, False, 4800
SPPRC, 0.3, 1, 12963.046614735202, 2113.7908879090337, False, 1018
ng8, 9.28, 1, 12963.046614735204, 12497.102369149996, False, 193
cyc2, 1.9, 1, 12963.046614735204, 7068.967430702036, False, 5391
SPPRC, 0.31, 1, 12963.046614735204, 2207.547038443783, False, 1040
ng8, 10.5, 1, 12963.046614735202, 12409.081915499497, False, 245
cyc2, 2.04, 1, 12963.046614735202, 6084.812110020046, False, 5956
SPPRC, 0.31, 1, 12963.046614735202, 1165.138590207558, False, 1059
ng8, 11.61, 1, 12963.0466147352, 12533.30710532771, False, 189
cyc2, 2.49, 1, 12963.0466147352, 6444.219460429909, False, 5635
SPPRC, 0.33, 1, 12963.0466147352, 1410.1074293096099, False, 1054
ng8, 10.19, 1, 12962.910275601327, 12704.154347713906, False, 152
cyc2, 1.99, 1, 12962.910275601327, 6262.519735686776, False, 5635
SPPRC, 0.3, 1, 12962.910275601327, 1325.205218577792, False, 1062
ng8, 11.12, 1, 12959.419654384435, 12688.883832796324, False, 171
cyc2, 1.98, 1, 12959.419654384435, 5943.76615178393, False, 5481
SPPRC, 0.3, 1, 12959.419654384435, 1449.1047414819186, False, 1059
ng8, 10.57, 1, 12956.693729320694, 12656.835831868653, False, 163
cyc2, 1.97, 1, 12956.693729320694, 6584.17794762953, False, 5594
SPPRC, 0.31, 1, 12956.693729320694, 2498.9320643269457, False, 1065
ng8, 7.07, 1, 12954.769733721472, 11930.040133986084, False, 492
cyc2, 2.62, 1, 12954.769733721472, 4346.67753130504, False, 7805
SPPRC, 0.36, 1, 12954.769733721472, -918.1063780541626, False, 1208
ng8, 7.84, 1, 12954.769733721472, 12457.705342344008, False, 215
cyc2, 2.95, 1, 12954.769733721472, 3297.254220809673, False, 8324
SPPRC, 0.41, 1, 12954.769733721472, -2878.498499381316, False, 1274
ng8, 9.93, 1, 12954.769733721472, 12467.507263867094, False, 176
cyc2, 2.66, 1, 12954.769733721472, 3820.6710443930388, False, 7747
SPPRC, 0.37, 1, 12954.769733721472, -1978.5734783461703, False, 1231
ng8, 9.17, 1, 12954.769733721472, 12490.76164704336, False, 177
cyc2, 2.68, 1, 12954.769733721472, 3773.0508747877884, False, 7740
SPPRC, 0.38, 1, 12954.769733721472, -2938.998753313357, False, 1255
ng8, 10.01, 1, 12954.769733721472, 12565.75424390761, False, 161
cyc2, 2.66, 1, 12954.769733721472, 4999.311402989738, False, 6967
SPPRC, 0.41, 1, 12954.769733721472, 194.25722491397755, False, 1148
ng8, 10.38, 1, 12954.081109104538, 12657.289464112439, False, 168
cyc2, 3.87, 1, 12954.081109104538, 5089.0627722958825, False, 6968
SPPRC, 0.53, 1, 12954.081109104538, -237.10337250025623, False, 1169
ng8, 12.06, 1, 12953.233305569314, 12671.37491070565, False, 170
cyc2, 3.06, 1, 12953.233305569314, 5411.992931088142, False, 6654
SPPRC, 0.43, 1, 12953.233305569314, -359.26874656775544, False, 1163
ng8, 12.94, 1, 12952.509979104776, 12748.50845344573, False, 120
cyc2, 3.53, 1, 12952.509979104776, 5229.313051566358, False, 6893
SPPRC, 0.51, 1, 12952.509979104776, -434.07289007363215, False, 1168
ng8, 16.93, 1, 12951.382445998024, 12656.753509997863, False, 173
cyc2, 3.28, 1, 12951.382445998024, 5030.779150901385, False, 6727
SPPRC, 0.47, 1, 12951.382445998024, -911.0078426965883, False, 1208
ng8, 12.59, 1, 12951.278562168, 12765.03586919235, False, 108
cyc2, 2.54, 1, 12951.278562168, 5091.188839680588, False, 6796
SPPRC, 0.37, 1, 12951.278562168, 219.60675595854627, False, 1168
ng8, 10.31, 1, 12949.73736255268, 12649.251665739412, False, 130
cyc2, 2.49, 1, 12949.73736255268, 5328.051442062486, False, 6634
SPPRC, 0.36, 1, 12949.73736255268, 155.37422187866832, False, 1189
ng8, 12.09, 1, 12949.431907442104, 12767.487335712905, False, 86
cyc2, 2.73, 1, 12949.431907442104, 5254.317422956626, False, 6772
SPPRC, 0.39, 1, 12949.431907442104, 195.4357851132736, False, 1175
ng8, 10.6, 1, 12949.123176486712, 12746.191423071023, False, 93
cyc2, 2.44, 1, 12949.123176486712, 4565.946907917067, False, 7129
SPPRC, 0.34, 1, 12949.123176486712, -227.8740081324504, False, 1177
ng8, 11.15, 1, 12948.98621913704, 12793.549495444167, False, 64
cyc2, 2.44, 1, 12948.98621913704, 4663.781016328563, False, 6772
SPPRC, 0.36, 1, 12948.98621913704, -257.66332247629543, False, 1171
ng8, 15.04, 1, 12943.087897359825, 12735.223516141985, False, 122
cyc2, 2.87, 1, 12943.087897359825, 5630.748068149533, False, 6803
SPPRC, 0.39, 1, 12943.087897359825, 468.48073081530674, False, 1181
ng8, 11.51, 1, 12942.745563698376, 12822.346458592605, False, 89
cyc2, 2.6, 1, 12942.745563698376, 5827.837265509877, False, 6722
SPPRC, 0.39, 1, 12942.745563698376, 521.5711306232188, False, 1181
ng8, 14.11, 1, 12942.58431470202, 12832.73564362658, False, 62
cyc2, 3.86, 1, 12942.58431470202, 4425.205723818124, False, 7460
SPPRC, 0.45, 1, 12942.58431470202, -1228.1905228873766, False, 1244
ng8, 10.83, 1, 12940.466216235274, 12678.527212740726, False, 149
cyc2, 2.21, 1, 12940.466216235274, 5996.829245393525, False, 5786
SPPRC, 0.36, 1, 12940.466216235274, 1847.9203657324779, False, 1145
ng8, 13.51, 1, 12940.450015199547, 12796.521812338859, False, 85
cyc2, 2.15, 1, 12940.450015199547, 6174.849498809819, False, 5521
SPPRC, 0.35, 1, 12940.450015199547, 2062.9948183362285, False, 1115
ng8, 13.02, 1, 12940.434352653745, 12782.678835506882, False, 72
cyc2, 2.26, 1, 12940.434352653745, 6219.492468705559, False, 5868
SPPRC, 0.35, 1, 12940.434352653745, 1951.2019523747003, False, 1147
ng8, 12.36, 1, 12940.405193401144, 12849.997256864364, False, 43
cyc2, 1.94, 1, 12940.405193401144, 5873.394194016815, False, 5753
SPPRC, 0.32, 1, 12940.405193401144, 1623.6453694301945, False, 1133
ng8, 11.92, 1, 12940.075634352414, 12903.98257854937, False, 29
cyc2, 2.13, 1, 12940.075634352414, 5887.282200901918, False, 5903
SPPRC, 0.34, 1, 12940.075634352414, 1592.6847453905248, False, 1150
ng8, 10.58, 1, 12939.796344884657, 12854.550006976217, False, 36
cyc2, 2.01, 1, 12939.796344884657, 6000.378774303681, False, 5864
SPPRC, 0.32, 1, 12939.796344884657, 1704.7521694375428, False, 1140
ng8, 11.33, 1, 12939.721102993955, 12912.641344458523, False, 28
cyc2, 2.05, 1, 12939.721102993955, 5818.299640324893, False, 6009
SPPRC, 0.32, 1, 12939.721102993955, 1495.6059749872602, False, 1146
ng8, 11.37, 1, 12939.642915751885, 12914.322498029223, False, 26
cyc2, 2.04, 1, 12939.642915751885, 5914.827435614066, False, 5992
SPPRC, 0.33, 1, 12939.642915751885, 1649.805666946957, False, 1143
ng8, 11.61, 1, 12939.639970649054, 12902.330892838827, False, 22
cyc2, 1.98, 1, 12939.639970649054, 5972.15069744896, False, 5820
SPPRC, 0.32, 1, 12939.639970649054, 1725.632010964413, False, 1141
ng8, 11.15, 1, 12939.62217268419, 12931.623093146409, False, 13
cyc2, 2.11, 1, 12939.62217268419, 5993.459389474534, False, 6041
SPPRC, 0.34, 1, 12939.62217268419, 1788.6131020758057, False, 1142
ng8, 11.72, 1, 12939.622172684189, 12937.043514638572, False, 6
cyc2, 2.28, 1, 12939.622172684189, 5991.993989064018, False, 6065
SPPRC, 0.36, 1, 12939.622172684189, 1785.785639773143, False, 1143
ng8, 12.65, 1, 12939.62217268419, 12938.488347740855, False, 6
cyc2, 2.33, 1, 12939.62217268419, 5991.715350260798, False, 6074
SPPRC, 0.36, 1, 12939.62217268419, 1785.244581363786, False, 1143
ng8, 12.81, 1, 12939.622172684194, 12936.805897825063, False, 5
cyc2, 2.47, 1, 12939.622172684194, 6000.164174838152, False, 6072
SPPRC, 0.37, 1, 12939.622172684194, 1796.930293278996, False, 1143
ng8, 13.16, 1, 12939.622172684192, 12938.211183937838, False, 7
cyc2, 2.36, 1, 12939.622172684192, 5994.739130744447, False, 6062
SPPRC, 0.37, 1, 12939.622172684192, 1789.440089767937, False, 1143
ng8, 12.25, 1, 12939.622172684192, 12939.622172684192, False, 0
cyc2, 2.48, 1, 12939.622172684192, 5990.6286056775825, False, 6075
SPPRC, 0.38, 1, 12939.622172684192, 1784.8223084162964, False, 1143
